review_id,text,sentiment,sentiment_score,n_entities,entities
1,"La comida en Sabor Maya estuvo increíble, el chuchito era delicioso y el servicio de Don Carlos fue excelente.",POSITIVE,0.9768,3,"Sab(LOC,0.8976); ##or Maya(LOC,0.8396); Don Carlos(PER,0.9977)"
2,"Pésimo servicio en El Fogón Chapín, esperamos una hora y la comida llegó fría.",NEGATIVE,0.9742,1,"El Fogón Chapín(LOC,0.9966)"
3,"El restaurante Kakaw en Antigua Guatemala tiene un ambiente hermoso, pero los precios son muy altos.",POSITIVE,0.8564,2,"Kakaw(MISC,0.8432); Antigua Guatemala(LOC,0.9996)"
4,"No fue una mala experiencia, la verdad me sorprendió gratamente el sabor de los tamales en Rincón Típico.",POSITIVE,0.9717,1,"Rincón Típico(LOC,0.9481)"
5,"La pizza no estuvo nada rica, definitivamente no vuelvo a Pizza Nostra.",NEGATIVE,0.871,1,"Pizza Nostra(MISC,0.9877)"
6,"El café de Cafetería Luna en Xela es de los mejores que he probado, ambiente muy acogedor.",POSITIVE,0.9767,4,"Ca(ORG,0.995); ##fete(ORG,0.9533); ##ría Luna(ORG,0.8307); Xela(LOC,0.9997)"
7,"En Marisquería El Ancla, en Puerto Barrios, el pescado olía raro y el mesero fue grosero.",NEGATIVE,0.9563,3,"Maris(ORG,0.8032); ##quería El Ancla(ORG,0.552); Puerto Barrios(LOC,0.9992)"
8,"La Terraza en Zona 10 tiene una vista espectacular, aunque la comida es bastante mediocre para el precio.",POSITIVE,0.7973,2,"Terraza(LOC,0.941); Zona 10(LOC,0.8912)"
9,"La chef Andrea Morales de Fusión Gourmet preparó un menú increíble, cada plato fue una sorpresa.",POSITIVE,0.9745,3,"Andrea Morales(PER,0.9997); Fu(ORG,0.9501); ##sión Gourmet(ORG,0.9043)"
10,"La Taquería El Compadre me decepcionó, los tacos estaban secos y fríos.",NEGATIVE,0.9797,1,"Taquería El Compadre(ORG,0.8896)"
11,"Cenar en Restaurante Panorama, frente al Lago de Atitlán en Panajachel, fue una experiencia inolvidable.",POSITIVE,0.9592,4,"Resta(LOC,0.9772); ##urante Panorama(LOC,0.9288); Lago de Atitlán(LOC,0.9824); Panajachel(LOC,0.9596)"
12,"El Comedor de Doña Rosa tiene comida casera muy rica y a buen precio, se los recomiendo.",POSITIVE,0.9659,1,"Comedor de Doña Rosa(LOC,0.9643)"
13,"El sushi en Sushi Itto Guatemala está bien, aunque esperaba más variedad en el menú.",POSITIVE,0.909,3,"Sus(MISC,0.998); ##hi Itto(MISC,0.8965); Guatemala(LOC,0.9771)"
14,"Qué maravilla, dos horas de espera en El Portal del Ángel para que me sirvieran arroz frío. Simplemente espectacular.",POSITIVE,0.9577,1,"El Portal del Ángel(LOC,0.9996)"
15,Rico.,NEUTRAL,0.448,1,"Rico(LOC,0.792)"
16,Malísimo.,NEGATIVE,0.8834,0,
17,"La comida taba bien rika pero el serbicio pesimo, nunka volvemos.",NEGATIVE,0.9247,0,
18,"Fuimos a Zúmbala Café y la verdad ni sabíamos bien dónde quedaba, la comida estuvo pasable.",POSITIVE,0.6659,1,"Zúmbala Café(LOC,0.9278)"
19,"El chef Ricardo Paredes de Restaurante El Establo nos preparó un platillo excelente, muy recomendado.",POSITIVE,0.9764,4,"Ricardo Paredes(PER,0.9997); Resta(ORG,0.9947); ##uran(ORG,0.9892); ##te El Establo(ORG,0.9857)"
20,El Wendy's de la zona 1 tardó demasiado en entregar mi pedido y llegó incompleto.,NEGATIVE,0.9594,1,"Wendy ' s(ORG,0.997)"
21,"El café de Café Barista, cerca de la Universidad del Valle, está rico pero es carísimo para lo que ofrecen.",NEGATIVE,0.8923,2,"Café Barista(ORG,0.9985); Universidad del Valle(LOC,0.872)"
22,"El Hotel y Restaurante Atitlán superó nuestras expectativas, personal muy amable y comida deliciosa.",POSITIVE,0.9742,4,"Hotel(MISC,0.8248); At(LOC,0.5294); ##it(MISC,0.4353); ##lán(LOC,0.8305)"
23,"No puedo decir que fue mala la cena en Los Girasoles, de hecho me encantó cada platillo.",POSITIVE,0.382,1,"Los Girasoles(MISC,0.8096)"
24,"No fue una experiencia agradable en Cafetería El Trébol, el ambiente estaba sucio y desorganizado.",NEGATIVE,0.9699,3,"Ca(LOC,0.9832); ##fete(LOC,0.9791); ##ría El Trébol(LOC,0.9875)"
25,"El postre en Chocolatería Q estuvo exquisito, pero el mesero Luis fue muy grosero con nosotros.",NEGATIVE,0.777,3,"Chocolatería(MISC,0.5507); Q(ORG,0.6295); Luis(PER,0.9995)"
26,"La Cocina de Mama es simplemente maravillosa, el chef Fernando López tiene un talento increíble, todo estaba perfecto desde la entrada hasta el postre.",POSITIVE,0.9816,3,"Coci(MISC,0.9979); ##na de Mama(MISC,0.9702); Fernando López(PER,0.9997)"
27,"El Burger King de la zona 4 nos dio hamburguesas frías y el local estaba sucio, pésima experiencia.",NEGATIVE,0.9819,1,"Burger King(ORG,0.9936)"
28,"Recorrimos Livingston y Río Dulce, y cenamos en el restaurante Rango Verde, todo estuvo delicioso.",POSITIVE,0.9539,3,"Livingston(LOC,0.995); Río Dulce(LOC,0.9951); Rango Verde(LOC,0.9689)"
29,"El gerente Sergio Aguilar de Café Barrista nos atendió excelente, resolvió todo rapidísimo.",POSITIVE,0.9583,2,"Sergio Aguilar(PER,0.9998); Café Barrista(ORG,0.999)"
30,"El lugar está bien, ni tan bueno ni tan malo, normal.",POSITIVE,0.7562,0,
31,"No diría que la comida es mala, pero tampoco es algo que recomendaría en Restaurante Bella Vista.",NEUTRAL,0.7793,3,"Resta(LOC,0.6728); ##uran(LOC,0.6498); ##te Bella Vista(LOC,0.5295)"
32,"El desayuno en Panadería San Martín, en Cobán, fue sencillo pero muy sabroso y el precio justo.",POSITIVE,0.9669,2,"Panadería San Martín(ORG,0.8233); Cobán(LOC,0.9646)"
